Name,Nationality,Overall Rank,Apparatus,Diff,Exec,Total Score,Rank
,,,Vault,5.6,7.833,13.43,23
,,,PBars,6,8.366,14.37,13
,,,High Bar,5.4,8,13.40,10
Ferhat Arican,TUR,20,Floor,5.1,6.633,11.73,24
,,,Pommel Horse,5.7,7.825,13.53,11
,,,Rings,4.7,8.2,12.90,21
,,,Vault,5.2,9.066,14.27,13
,,,PBars,6.3,8.383,14.68,6
,,,High Bar,5.1,7.833,12.93,16
Zachary Clay,CAN,21,Floor,5.2,7.933,13.13,20
,,,Pommel Horse,5.8,7.766,13.57,9
,,,Rings,5.4,7.7,13.10,20
,,,Vault,4.8,9.3,14.10,15
,,,PBars,5.5,7.6,13.10,22
,,,High Bar,4.9,8,12.90,17
Tomas Kuzmickas,LTU,22,Floor,5.7,8.566,14.27,7
,,,Pommel Horse,4.7,8.166,12.87,17
,,,Rings,3.7,8,11.70,24
,,,Vault,4.8,9.066,13.87,19
,,,PBars,5.5,8.133,13.63,19
,,,High Bar,5.1,8.233,13.33,12
Kevin Cerda,MEX,23,Floor,5.3,8.033,13.33,18
,,,Pommel Horse,4.9,7.366,12.27,21
,,,Rings,5.3,7.1,12.40,23
,,,Vault,4.8,8.933,13.73,21
,,,PBars,4.5,7.866,12.37,24
,,,High Bar,5.5,7.333,12.83,18
Joel Plata Rodriguez,SP,24,Floor,5.7,7.966,13.67,16
,,,Pommel Horse,4.1,6.533,10.63,24
,,,Rings,5.1,8.4,13.50,15
,,,Vault,4.8,8.833,13.63,22
,,,PBars,5.4,8,13.40,21
,,,High Bar,5.5,6.366,11.87,23
